Exogenous Variable,Trace Statistic,Critical Value (5%),Cointegrated
fred_AHETPI,19.125916638759893,15.4943,True
fred_APU000074714,16.274892324849752,15.4943,True
fred_CSUSHPISA,10.021787382375896,15.4943,False
fred_EXCAUS,5.334065405996294,15.4943,False
fred_EXDNUS,6.983882287966437,15.4943,False
fred_EXINUS,7.548606609775999,15.4943,False
fred_EXKOUS,16.607165541847667,15.4943,True
fred_EXMAUS,4.418823545330538,15.4943,False
fred_EXNOUS,5.669894431271224,15.4943,False
fred_EXSDUS,7.865435237991653,15.4943,False
fred_EXSIUS,5.0575284301054575,15.4943,False
fred_EXSZUS,7.635512962053935,15.4943,False
fred_EXTAUS,5.640381320777035,15.4943,False
fred_EXUSAL,6.335904528349661,15.4943,False
fred_EXUSNZ,7.933995557239518,15.4943,False
fred_EXUSUK,11.745002160620224,15.4943,False
fred_IPMINE,7.415384705724906,15.4943,False
fred_M2SL,15.942968659045672,15.4943,True
fred_PCUOMFGOMFG,6.7654448622022505,15.4943,False
fred_PCUOMINOMIN,10.367472273017604,15.4943,False
fred_PPIACO,6.576336523817848,15.4943,False
fred_TB3MS,8.449552825816674,15.4943,False
fred_TB6MS,8.75043334406608,15.4943,False
fred_TERMCBPER24NS,21.206866512992022,15.4943,True
fred_PSOYBUSDM,10.202410887857528,15.4943,False
fred_A053RC1Q027SBEA,15.858262504084523,15.4943,True
fred_FYGFGDQ188S,4.821073458288594,15.4943,False
fred_GDP,8.40810790781857,15.4943,False
fred_GFDEGDQ188S,4.474901961301581,15.4943,False
fred_FDHBFIN,9.413194406682939,15.4943,False
fred_FDHBPIN,14.422708210379655,15.4943,False
fred_FYGFDPUN,13.990428129148722,15.4943,False
fred_DCOILWTICO,9.406154255019372,15.4943,False
fred_DGS10,24.78762270119342,15.4943,True
CrudeOilWTI_Price,9.260423774974969,15.4943,False
CrudeOilWTI_Open,12.407495989608764,15.4943,False
CrudeOilWTI_High,9.39486003097856,15.4943,False
CrudeOilWTI_Low,13.437727716897648,15.4943,False
CrudeOilWTI_Vol.,15.331215265972153,15.4943,False
BrentOil_Price,7.170604580732604,15.4943,False
BrentOil_Open,10.401082521665321,15.4943,False
BrentOil_High,8.145927243121314,15.4943,False
BrentOil_Low,7.875751644958273,15.4943,False
BrentOil_Vol.,36.87234863383517,15.4943,True
Gold_Price,6.144576646519505,15.4943,False
Gold_Low,6.479617842971429,15.4943,False
Silver_Price,8.790845281714983,15.4943,False
Silver_Open,9.285171304011223,15.4943,False
Silver_High,9.385305050049418,15.4943,False
Silver_Low,8.896880485172163,15.4943,False
Copper_Price,12.369597191270568,15.4943,False
Copper_Open,12.548905469034098,15.4943,False
Copper_High,12.397803816606695,15.4943,False
Copper_Low,13.2601871399129,15.4943,False
BalticDryIndex_Price,20.906204085984474,15.4943,True
BalticDryIndex_Low,23.33622748130119,15.4943,True
NASDAQComposite_Price,14.367999149271464,15.4943,False
NASDAQComposite_High,14.162557641166881,15.4943,False
NASDAQComposite_Low,9.320481238682158,15.4943,False
SP500_Price,4.429135849180217,15.4943,False
SP500_High,5.679743992353953,15.4943,False
SP500_Low,3.1123808922382823,15.4943,False
food_price_indices_data_f_Food Price Index,6.468556146564443,15.4943,False
food_price_indices_data_f_Meat,6.890408098615999,15.4943,False
food_price_indices_data_f_Dairy,10.102940940151582,15.4943,False
food_price_indices_data_f_Cereals,8.376727649387023,15.4943,False
food_price_indices_data_f_Oils,9.839806923200932,15.4943,False
food_price_indices_data_f_Sugar,11.852485400233444,15.4943,False
"CMO-Historical-Data-Monthly_Coal, Australian",11.791629654535164,15.4943,False
"CMO-Historical-Data-Monthly_Coal, South African **",14.988992827497293,15.4943,False
CMO-Historical-Data-Monthly_Cocoa,10.067052345280636,15.4943,False
"CMO-Historical-Data-Monthly_Tea, Colombo",15.644617657160103,15.4943,True
CMO-Historical-Data-Monthly_Coconut oil,10.678763744980971,15.4943,False
CMO-Historical-Data-Monthly_Groundnut oil **,13.383093034166722,15.4943,False
CMO-Historical-Data-Monthly_Palm oil,10.327890821696638,15.4943,False
CMO-Historical-Data-Monthly_Soybean oil,8.672759144948314,15.4943,False
CMO-Historical-Data-Monthly_Soybean meal,12.845606422522904,15.4943,False
CMO-Historical-Data-Monthly_Maize,7.121422188370793,15.4943,False
"CMO-Historical-Data-Monthly_Rice, Thai 5% ",15.167892967375591,15.4943,False
"CMO-Historical-Data-Monthly_Rice, Thai A.1",18.825908468193646,15.4943,True
"CMO-Historical-Data-Monthly_Wheat, US HRW",10.611878876723031,15.4943,False
CMO-Historical-Data-Monthly_Beef **,14.217063248152675,15.4943,False
CMO-Historical-Data-Monthly_Lamb **,9.113421681448008,15.4943,False
"CMO-Historical-Data-Monthly_Sugar, EU",14.98310410708098,15.4943,False
"CMO-Historical-Data-Monthly_Sugar, world",11.833529130841944,15.4943,False
"CMO-Historical-Data-Monthly_Logs, Cameroon",9.03825365004737,15.4943,False
"CMO-Historical-Data-Monthly_Rubber, RSS3",9.067165651407795,15.4943,False
CMO-Historical-Data-Monthly_DAP,19.78831998973281,15.4943,True
CMO-Historical-Data-Monthly_TSP,24.51791931869398,15.4943,True
CMO-Historical-Data-Monthly_Urea ,23.75641830451845,15.4943,True
CMO-Historical-Data-Monthly_Potassium chloride **,6.950052173171678,15.4943,False
CMO-Historical-Data-Monthly_Aluminum,16.84974175099948,15.4943,True
"CMO-Historical-Data-Monthly_Iron ore, cfr spot",10.804499488016702,15.4943,False
CMO-Historical-Data-Monthly_Lead,17.486112171415325,15.4943,True
CMO-Historical-Data-Monthly_Tin,8.840932436056603,15.4943,False
CMO-Historical-Data-Monthly_Nickel,13.267767955816126,15.4943,False
CMO-Historical-Data-Monthly_Zinc,14.194000665699749,15.4943,False
CMO-Historical-Data-Monthly_Platinum,7.0699326553841155,15.4943,False
CMO-Historical-Data-Monthly_Total_Index,7.12363009049522,15.4943,False
CMO-Historical-Data-Monthly_Energy,7.113410395183546,15.4943,False
CMO-Historical-Data-Monthly_Non_Energy,6.374917793892152,15.4943,False
CMO-Historical-Data-Monthly_Agriculture,4.768850879932265,15.4943,False
CMO-Historical-Data-Monthly_Beverages,6.649853743498389,15.4943,False
CMO-Historical-Data-Monthly_Food,6.7663821888467295,15.4943,False
CMO-Historical-Data-Monthly_Oils_and_meals,8.40583984893813,15.4943,False
CMO-Historical-Data-Monthly_Grains,6.759445571026996,15.4943,False
CMO-Historical-Data-Monthly_Other_foods,10.272414172088762,15.4943,False
CMO-Historical-Data-Monthly_Raw_materials,3.8807303698643185,15.4943,False
CMO-Historical-Data-Monthly_Other_raw_materials,8.306747877618024,15.4943,False
CMO-Historical-Data-Monthly_Fertilizers,10.700386323250749,15.4943,False
CMO-Historical-Data-Monthly_Metals_minerals,13.888761620695629,15.4943,False
CMO-Historical-Data-Monthly_Base metals,14.463631838672324,15.4943,False
CMO-Historical-Data-Monthly_Precious_metals,6.272594502231183,15.4943,False
